name,M,A,R1,R2,R3,E_gap
C77H73N5O4Zn,ZnP,EthynPhA,DTBP,MOTPA,DTBP,3.861834951174501
C71H55N7O2Zn,ZnP,EthynPhA,DTA,DTA,DTA,3.493898654429813
C53H40N4O8Zn,ZnP,EthynPhA,TMP,Ph,TMP,4.210255703632129
C61H31F10N5O4Zn,ZnP,EthynPhA,FPh,MOTPA,FPh,3.84786525271511
C75H55N7O2Zn,ZnP,EthynPhA,DTA,TPA,DTA,3.5623230583008763
C48H35N5O6Zn,ZnP,2CyanoPropenA,DMP,Ph,DMP,4.027456446441761
C54H42N4O9Zn,ZnP,EthynPhA,DMP,TMP,DMP,4.2350861530547945
C47H33N5O5Zn,ZnP,2CyanoPropenA,Ph,TMP,Ph,4.128608129729628
C50H39N5O8Zn,ZnP,2CyanoPropenA,DMP,DMP,DMP,3.957824850429347
C50H34N4O5Zn,ZnP,EthynPhA,Ph,TMP,Ph,4.357410835690871
C52H43N5O2Zn,ZnP,2CyanoPropenA,Ph,DTBP,Ph,4.2426630463027095
C66H52N6O5Zn,ZnP,EthynPhA,DTA,TMP,DTA,3.696457380274296
C56H51N5O6Zn,ZnP,2CyanoPropenA,DMP,DTBP,DMP,4.135251627302978
C52H36N6O2Zn,ZnP,2CyanoPropenA,Ph,DTA,Ph,3.6325079530196263
C56H36N6O2Zn,ZnP,2CyanoPropenA,Ph,TPA,Ph,3.688903567961006
C63H45N5O6Zn,ZnP,EthynPhA,DMP,TPA,DMP,3.9902574183449815
C51H41N5O9Zn,ZnP,2CyanoPropenA,DMP,TMP,DMP,3.9637238284370824
C58H40N6O4Zn,ZnP,2CyanoPropenA,Ph,MOTPA,Ph,3.4744984102133003
C56H44N6O6Zn,ZnP,2CyanoPropenA,DMP,DTA,DMP,3.577017898042868
C51H37N5O7Zn,ZnP,2CyanoPropenA,DMP,EthynPhM,DMP,3.8556331097036036
C59H37N5O2Zn,ZnP,EthynPhA,Ph,TPA,Ph,4.067904280035918
C77H59N7O4Zn,ZnP,EthynPhA,DTA,MOTPA,DTA,3.3749894727354786
C60H44N6O6Zn,ZnP,2CyanoPropenA,DMP,TPA,DMP,3.6125404896305326
C46H21F10N5O4Zn,ZnP,2CyanoPropenA,FPh,DMP,FPh,4.19637621189645
C44H17F10N5O2Zn,ZnP,2CyanoPropenA,FPh,Ph,FPh,4.453856001210852
C53H40N4O8Zn,ZnP,EthynPhA,DMP,DMP,DMP,4.310219720344321
C61H41N5O4Zn,ZnP,EthynPhA,Ph,MOTPA,Ph,3.903122829608151
C60H59N5O2Zn,ZnP,2CyanoPropenA,DTBP,Ph,DTBP,4.194155313301053
C65H49N5O8Zn,ZnP,EthynPhA,TMP,TPA,TMP,4.001096925293382
C67H53N5O10Zn,ZnP,EthynPhA,TMP,MOTPA,TMP,3.8512990613219245
C63H47N7O3Zn,ZnP,2CyanoPropenA,DTA,EthynPhM,DTA,3.469841278403578
C60H54F5N5O2Zn,ZnP,2CyanoPropenA,DTBP,FPh,DTBP,4.222303115210366
C62H63N5O4Zn,ZnP,2CyanoPropenA,DTBP,DMP,DTBP,4.049398618673081
C68H75N5O2Zn,ZnP,2CyanoPropenA,DTBP,DTBP,DTBP,4.145671660815651
C62H48N6O8Zn,ZnP,2CyanoPropenA,DMP,MOTPA,DMP,3.4151786078199393
C56H26F10N6O2Zn,ZnP,2CyanoPropenA,FPh,TPA,FPh,3.715660414256263
C68H68N6O2Zn,ZnP,2CyanoPropenA,DTBP,DTA,DTBP,3.639630035488949
C46H32N4O6Zn,ZnP,2CarboxyPropenA,Ph,DMP,Ph,4.118576894159673
C60H40F5N7O2Zn,ZnP,2CyanoPropenA,DTA,FPh,DTA,3.291483561611699
C71H41F5N6O2Zn,ZnP,EthynPhA,TPA,FPh,TPA,3.731516227788916
C52H43N5O10Zn,ZnP,2CyanoPropenA,TMP,DMP,TMP,3.949705664579369
C55H44N4O2Zn,ZnP,EthynPhA,Ph,DTBP,Ph,4.5623594923062
C63H65N5O5Zn,ZnP,2CyanoPropenA,DTBP,TMP,DTBP,4.044466125132999
C44H28N4O4Zn,ZnP,2CarboxyPropenA,Ph,Ph,Ph,4.302349520814573
C63H51N7O5Zn,ZnP,2CyanoPropenA,DTA,TMP,DTA,3.3762645988927034
C47H19F10N5O3Zn,ZnP,2CyanoPropenA,FPh,EthynPhM,FPh,4.114407560493532
C83H55N7O2Zn,ZnP,EthynPhA,TPA,TPA,TPA,3.645020682889026
C63H61N5O3Zn,ZnP,2CyanoPropenA,DTBP,EthynPhM,DTBP,3.941595336908904
C68H54N8O2Zn,ZnP,2CyanoPropenA,DTA,DTA,DTA,3.1305890888006616
C72H68N6O2Zn,ZnP,2CyanoPropenA,DTBP,TPA,DTBP,3.6448251676845302
C47H23F10N5O5Zn,ZnP,2CyanoPropenA,FPh,TMP,FPh,4.15622637281831
C52H33F10N5O2Zn,ZnP,2CyanoPropenA,FPh,DTBP,FPh,4.366684666410606
C55H37N5O2Zn,ZnP,EthynPhA,Ph,DTA,Ph,4.0374084124458705
C68H61N7O2Zn,ZnP,2CyanoPropenA,DTA,DTBP,DTA,3.3041746007912707
C68H45N7O2Zn,ZnP,2CyanoPropenA,TPA,Ph,TPA,3.4364578493587032
C74H72N6O4Zn,ZnP,2CyanoPropenA,DTBP,MOTPA,DTBP,3.468917882963865
C52H26F10N6O2Zn,ZnP,2CyanoPropenA,FPh,DTA,FPh,3.6624828913907095
C78H56N6O7Zn,ZnP,EthynPhA,MOTPA,EthynPhM,MOTPA,3.3925212866340644
C70H49N7O4Zn,ZnP,2CyanoPropenA,TPA,DMP,TPA,3.3872212164144457
C59H52N4O6Zn,ZnP,EthynPhA,DMP,DTBP,DMP,4.358612408870954
C48H36N4O8Zn,ZnP,2CarboxyPropenA,DMP,Ph,DMP,4.047983949010359
C65H49N5O8Zn,ZnP,EthynPhA,DMP,MOTPA,DMP,3.8550090359727847
C44H23F5N4O4Zn,ZnP,2CarboxyPropenA,Ph,FPh,Ph,4.345762376282778
C58H30F10N6O4Zn,ZnP,2CyanoPropenA,FPh,MOTPA,FPh,3.4485661473164555
C85H59N7O4Zn,ZnP,EthynPhA,TPA,MOTPA,TPA,3.5090868383688303
C62H48N6O8Zn,ZnP,2CyanoPropenA,TMP,TPA,TMP,3.6079863869360906
C75H49F5N6O6Zn,ZnP,EthynPhA,MOTPA,FPh,MOTPA,3.3932464562298037
C47H34N4O7Zn,ZnP,2CarboxyPropenA,Ph,TMP,Ph,4.103833643351663
C56H37N5O4Zn,ZnP,2CarboxyPropenA,Ph,TPA,Ph,3.683359357617178
C47H30N4O5Zn,ZnP,2CarboxyPropenA,Ph,EthynPhM,Ph,4.022764256166283
C50H40N4O10Zn,ZnP,2CarboxyPropenA,DMP,DMP,DMP,3.960510025621602
C59H34N4O2Zn,ZnP,EthynDPhEPhA,Ph,Ph,Ph,4.12631268809173
C56H22F10N6O3SZn,ZnP,EthynBTDPhA,FPh,EthynPhM,FPh,4.017735745446885
C89H67N7O8Zn,ZnP,EthynPhA,MOTPA,MOTPA,MOTPA,3.3376396159885644
C79H62N6O2Zn,ZnP,EthynPhA,TPA,DTBP,TPA,4.153374307602348
C68H40F5N7O2Zn,ZnP,2CyanoPropenA,TPA,FPh,TPA,3.355393356434547
C87H63N7O6Zn,ZnP,EthynPhA,MOTPA,TPA,MOTPA,3.3907702832632367
C79H55N7O2Zn,ZnP,EthynPhA,TPA,DTA,TPA,3.5282064995043356
C71H51N7O5Zn,ZnP,2CyanoPropenA,TPA,TMP,TPA,3.4042198854158414
C52H37N5O4Zn,ZnP,2CarboxyPropenA,Ph,DTA,Ph,3.63313248531972
C71H47N7O3Zn,ZnP,2CyanoPropenA,TPA,EthynPhM,TPA,3.3062247843215573
C74H58N8O4Zn,ZnP,2CyanoPropenA,DTA,MOTPA,DTA,2.980147915403336
C58H41N5O6Zn,ZnP,2CarboxyPropenA,Ph,MOTPA,Ph,3.4724094151491727
C52H44N4O4Zn,ZnP,2CarboxyPropenA,Ph,DTBP,Ph,4.205749821961604
C80H54N8O2Zn,ZnP,2CyanoPropenA,TPA,TPA,TPA,3.2451675581427253
C59H45N5O6Zn,ZnP,EthynPhA,DMP,DTA,DMP,4.022430716440454
C83H63N7O6Zn,ZnP,EthynPhA,MOTPA,DTA,MOTPA,3.275193000415584
C78H60N6O9Zn,ZnP,EthynPhA,MOTPA,TMP,MOTPA,3.4739961185175616
C61H38N4O4Zn,ZnP,EthynDPhEPhA,Ph,DMP,Ph,4.017500178152659
C74H57N7O8Zn,ZnP,2CyanoPropenA,MOTPA,DMP,MOTPA,3.0820620368540403
C82H58N8O4Zn,ZnP,2CyanoPropenA,TPA,MOTPA,TPA,3.1034400237109594
C76H54N8O2Zn,ZnP,2CyanoPropenA,TPA,DTA,TPA,3.1651118602018187
C76H61N7O2Zn,ZnP,2CyanoPropenA,TPA,DTBP,TPA,3.406576107710862
C75H55N7O7Zn,ZnP,2CyanoPropenA,MOTPA,EthynPhM,MOTPA,3.0070151713227915
C51H42N4O11Zn,ZnP,2CarboxyPropenA,DMP,TMP,DMP,3.9629134372798944
C65H41F5N4O8Zn,ZnP,EthynDPhEPhA,TMP,FPh,TMP,3.7829627946150595
C59H24F10N4O2Zn,ZnP,EthynDPhEPhA,FPh,Ph,FPh,4.173332609354588
C55H32N4O2Zn,ZnP,EthynPhEPhA,Ph,Ph,Ph,4.278667155861626
C73H62N4O8Zn,ZnP,EthynDPhEPhA,TMP,DTBP,TMP,3.7913622952996775
C56H45N5O8Zn,ZnP,2CarboxyPropenA,DMP,DTA,DMP,3.5652430456958655
C56H52N4O8Zn,ZnP,2CarboxyPropenA,DMP,DTBP,DMP,4.010400013855019
C59H19F15N4O2Zn,ZnP,EthynDPhEPhA,FPh,FPh,FPh,4.172617330519529
C68H52N4O11Zn,ZnP,EthynDPhEPhA,TMP,TMP,TMP,3.7021062220643444
C75H66N4O2Zn,ZnP,EthynDPhEPhA,DTBP,Ph,DTBP,4.064780635106445
C84H62N8O6Zn,ZnP,2CyanoPropenA,MOTPA,TPA,MOTPA,2.990651582664441
C62H26F10N4O3Zn,ZnP,EthynDPhEPhA,FPh,EthynPhM,FPh,3.9840406301865414
C68H48N4O9Zn,ZnP,EthynDPhEPhA,TMP,EthynPhM,TMP,3.706336032962213
C55H27F5N4O2Zn,ZnP,EthynPhEPhA,Ph,FPh,Ph,4.302536005298293
C83H82N4O2Zn,ZnP,EthynDPhEPhA,DTBP,DTBP,DTBP,4.035716358032914
C60H45N5O8Zn,ZnP,2CarboxyPropenA,DMP,TPA,DMP,3.6208334378557083
C72H53N7O6Zn,ZnP,2CyanoPropenA,MOTPA,Ph,MOTPA,3.0012704119770888
C80H62N8O6Zn,ZnP,2CyanoPropenA,MOTPA,DTA,MOTPA,2.883024163168443
C75H61F5N4O2Zn,ZnP,EthynDPhEPhA,DTBP,FPh,DTBP,4.083685656231523
C67H40F10N4O2Zn,ZnP,EthynDPhEPhA,FPh,DTBP,FPh,4.134166753321438
C78H68N4O3Zn,ZnP,EthynDPhEPhA,DTBP,EthynPhM,DTBP,3.894376975123123
C77H70N4O4Zn,ZnP,EthynDPhEPhA,DTBP,DMP,DTBP,3.9755928680325496
C72H48F5N7O6Zn,ZnP,2CyanoPropenA,MOTPA,FPh,MOTPA,2.9562874892462787
C78H72N4O5Zn,ZnP,EthynDPhEPhA,DTBP,TMP,DTBP,3.8733595151484224
C57H36N4O4Zn,ZnP,EthynPhEPhA,Ph,DMP,Ph,4.136052052983132
C58H34N4O3Zn,ZnP,EthynPhEPhA,Ph,EthynPhM,Ph,4.0940611955319355
C61H28F10N4O4Zn,ZnP,EthynDPhEPhA,FPh,DMP,FPh,4.0272457520447915
C58H38N4O5Zn,ZnP,EthynPhEPhA,Ph,TMP,Ph,4.033580623467628
C75H59N7O9Zn,ZnP,2CyanoPropenA,MOTPA,TMP,MOTPA,3.045327375869192
C62H30F10N4O5Zn,ZnP,EthynDPhEPhA,FPh,TMP,FPh,3.9081402438333726
C63H48N4O2Zn,ZnP,EthynPhEPhA,Ph,DTBP,Ph,4.212128984005858
C62H49N5O10Zn,ZnP,2CarboxyPropenA,DMP,MOTPA,DMP,3.4145288010827244
C86H66N8O8Zn,ZnP,2CyanoPropenA,MOTPA,MOTPA,MOTPA,2.933382982682133
C59H40N4O6Zn,ZnP,EthynPhEPhA,DMP,Ph,DMP,4.092678940309611
C61H44N4O8Zn,ZnP,EthynPhEPhA,DMP,DMP,DMP,4.01291112512456
C51H31F5N4O6Zn,ZnP,EthynPhA,DMP,FPh,DMP,4.384671446133666
C62H42N4O7Zn,ZnP,EthynPhEPhA,DMP,EthynPhM,DMP,3.963990556956446
C67H33F10N5O2Zn,ZnP,EthynDPhEPhA,FPh,DTA,FPh,3.68725231905114
C62H46N4O9Zn,ZnP,EthynPhEPhA,DMP,TMP,DMP,3.940934260463223
C83H75N5O2Zn,ZnP,EthynDPhEPhA,DTBP,DTA,DTBP,3.7121289161473214
C53H46N4O13Zn,ZnP,2CarboxyPropenA,TMP,TMP,TMP,3.9353879940164234
C67H41N5O2Zn,ZnP,EthynPhEPhA,Ph,TPA,Ph,3.800622245689283
C67H56N4O6Zn,ZnP,EthynPhEPhA,DMP,DTBP,DMP,4.05961385933233
C59H35F5N4O6Zn,ZnP,EthynPhEPhA,DMP,FPh,DMP,4.08399565719435
C64H46N4O9Zn,ZnP,EthynPhEPhA,TMP,EthynPhM,TMP,3.803518373297834
C73H55N5O8Zn,ZnP,EthynDPhEPhA,TMP,DTA,TMP,3.6227902055330787
C63H41N5O2Zn,ZnP,EthynPhEPhA,Ph,DTA,Ph,3.774641333238037
C75H52N6O2Zn,ZnP,EthynDPhEPhA,DTA,Ph,DTA,3.462046413627945
C69H45N5O4Zn,ZnP,EthynPhEPhA,Ph,MOTPA,Ph,3.6550857953881177
C71H33F10N5O2Zn,ZnP,EthynDPhEPhA,FPh,TPA,FPh,3.669200124186318
C87H75N5O2Zn,ZnP,EthynDPhEPhA,DTBP,TPA,DTBP,3.6605259045707044
C73H37F10N5O4Zn,ZnP,EthynDPhEPhA,FPh,MOTPA,FPh,3.5070674647562328
C61H44N4O8Zn,ZnP,EthynPhEPhA,TMP,Ph,TMP,3.914881621878635
C61H39F5N4O8Zn,ZnP,EthynPhEPhA,TMP,FPh,TMP,3.890530911029032
C77H56N6O4Zn,ZnP,EthynDPhEPhA,DTA,DMP,DTA,3.4264101264355986
C63H48N4O10Zn,ZnP,EthynPhEPhA,TMP,DMP,TMP,3.8627360659944543
C59H29F5N4O2Zn,ZnP,EthynDPhEPhA,Ph,FPh,Ph,4.144853774924059
C71H49N5O6Zn,ZnP,EthynPhEPhA,DMP,TPA,DMP,3.7456248903021105
C69H60N4O8Zn,ZnP,EthynPhEPhA,TMP,DTBP,TMP,3.8782323778796126
C54H38N4O7Zn,ZnP,EthynPhA,DMP,EthynPhM,DMP,4.215500277713431
C75H47F5N6O2Zn,ZnP,EthynDPhEPhA,DTA,FPh,DTA,3.4120331903176293
C64H50N4O11Zn,ZnP,EthynPhEPhA,TMP,TMP,TMP,3.796906700429645
C89H79N5O4Zn,ZnP,EthynDPhEPhA,DTBP,MOTPA,DTBP,3.531282978399531
C73H53N5O8Zn,ZnP,EthynPhEPhA,DMP,MOTPA,DMP,3.61615139397486
C62H36N4O3Zn,ZnP,EthynDPhEPhA,Ph,EthynPhM,Ph,3.9565921682662974
C62H40N4O5Zn,ZnP,EthynDPhEPhA,Ph,TMP,Ph,3.9156279713675985
C67H49N5O6Zn,ZnP,EthynPhEPhA,DMP,DTA,DMP,3.6905272665503617
C67H50N4O2Zn,ZnP,EthynDPhEPhA,Ph,DTBP,Ph,4.0893342069747405
C63H42N4O6Zn,ZnP,EthynDPhEPhA,DMP,Ph,DMP,3.970971234856165
C81H54N6O4Zn,ZnP,EthynPhEPhA,TPA,DMP,TPA,3.63314587094942
C78H54N6O3Zn,ZnP,EthynDPhEPhA,DTA,EthynPhM,DTA,3.3969174282073027
C83H68N6O2Zn,ZnP,EthynDPhEPhA,DTA,DTBP,DTA,3.433258454289785
C79H50N6O2Zn,ZnP,EthynPhEPhA,TPA,Ph,TPA,3.5916122453326125
C65H46N4O8Zn,ZnP,EthynDPhEPhA,DMP,DMP,DMP,3.909100097469036
C82H56N6O5Zn,ZnP,EthynPhEPhA,TPA,TMP,TPA,3.645442809144697
C91H59N7O2Zn,ZnP,EthynPhEPhA,TPA,TPA,TPA,3.4436407410746597
C78H58N6O5Zn,ZnP,EthynDPhEPhA,DTA,TMP,DTA,3.4135277085773623
C55H22F10N4O2Zn,ZnP,EthynPhEPhA,FPh,Ph,FPh,4.336089727003468
C83H61N7O2Zn,ZnP,EthynDPhEPhA,DTA,DTA,DTA,3.22711796015858
C73H53N5O8Zn,ZnP,EthynPhEPhA,TMP,TPA,TMP,3.7345223697791425
C79H45F5N6O2Zn,ZnP,EthynPhEPhA,TPA,FPh,TPA,3.5382963417380324
C79H80N4O2Zn,ZnP,EthynPhEPhA,DTBP,DTBP,DTBP,4.1490635210344635
C67H43N5O2Zn,ZnP,EthynDPhEPhA,Ph,DTA,Ph,3.71806621864971
C74H70N4O5Zn,ZnP,EthynPhEPhA,DTBP,TMP,DTBP,3.971586842646502
C57H26F10N4O4Zn,ZnP,EthynPhEPhA,FPh,DMP,FPh,4.1548469527309635
C71H59F5N4O2Zn,ZnP,EthynPhEPhA,DTBP,FPh,DTBP,4.200349186327344
C48H31F5N4O8Zn,ZnP,2CarboxyPropenA,DMP,FPh,DMP,4.017709566910298
C58H28F10N4O5Zn,ZnP,EthynPhEPhA,FPh,TMP,FPh,4.0339348068604295
C74H66N4O3Zn,ZnP,EthynPhEPhA,DTBP,EthynPhM,DTBP,3.9978108474700775
C82H52N6O3Zn,ZnP,EthynPhEPhA,TPA,EthynPhM,TPA,3.4948004718196444
C87H61N7O2Zn,ZnP,EthynDPhEPhA,DTA,TPA,DTA,3.2831263237317216
C50H39N5O8Zn,ZnP,2CyanoPropenA,TMP,Ph,TMP,4.021665669015192
C44H12F15N5O2Zn,ZnP,2CyanoPropenA,FPh,FPh,FPh,4.500166192918755
C58H31F10N5O6Zn,ZnP,2CarboxyPropenA,FPh,MOTPA,FPh,3.4221433472916942
C69H53N5O8Zn,ZnP,EthynPhEPhA,TMP,DTA,TMP,3.702581174825923
C48H29N5O2SZn,ZnP,EthenThPCyanoAcryl,Ph,Ph,Ph,4.27539530804745
C53H45N5O11Zn,ZnP,2CyanoPropenA,TMP,TMP,TMP,3.945443379024823
C50H34F5N5O8Zn,ZnP,2CyanoPropenA,TMP,FPh,TMP,3.9947451031675882
C89H65N7O4Zn,ZnP,EthynDPhEPhA,DTA,MOTPA,DTA,3.1378977142790063
C75H57N5O10Zn,ZnP,EthynPhEPhA,TMP,MOTPA,TMP,3.580149840773629
C79H73N5O2Zn,ZnP,EthynPhEPhA,DTBP,DTA,DTBP,3.7964270381361302
C63H31F10N5O2Zn,ZnP,EthynPhEPhA,FPh,DTA,FPh,3.804691850616905
C67H31F10N5O2Zn,ZnP,EthynPhEPhA,FPh,TPA,FPh,3.782827132207103
C53H41N5O9Zn,ZnP,2CyanoPropenA,TMP,EthynPhM,TMP,3.8278135428279256
C46H22F10N4O6Zn,ZnP,2CarboxyPropenA,FPh,DMP,FPh,4.183578213391797
C71H50N6O2Zn,ZnP,EthynPhEPhA,DTA,Ph,DTA,3.480459649756426
C73H47N5O4Zn,ZnP,EthynDPhEPhA,Ph,MOTPA,Ph,3.5354926378381606
C50H33N5O4SZn,ZnP,EthenThPCyanoAcryl,Ph,DMP,Ph,4.105628168086355
C73H54N6O4Zn,ZnP,EthynPhEPhA,DTA,DMP,DTA,3.4647096852102095
C64H42F5N7O2SZn,ZnP,EthenThPCyanoAcryl,DTA,FPh,DTA,3.225254013714448
C44H18F10N4O4Zn,ZnP,2CarboxyPropenA,FPh,Ph,FPh,4.420486077002806
C93H63N7O4Zn,ZnP,EthynPhEPhA,TPA,MOTPA,TPA,3.3203239540059712
C44H13F15N4O4Zn,ZnP,2CarboxyPropenA,FPh,FPh,FPh,4.441412861588333
C75H51N5O6Zn,ZnP,EthynDPhEPhA,DMP,TPA,DMP,3.6435208800879764
C58H48N6O8Zn,ZnP,2CyanoPropenA,TMP,DTA,TMP,3.559637482271114
C60H41F5N6O4Zn,ZnP,2CarboxyPropenA,DTA,FPh,DTA,3.491294858057927
C58H55N5O8Zn,ZnP,2CyanoPropenA,TMP,DTBP,TMP,3.9570227138873406
C85H77N5O4Zn,ZnP,EthynPhEPhA,DTBP,MOTPA,DTBP,3.610809664754015
C69H35F10N5O4Zn,ZnP,EthynPhEPhA,FPh,MOTPA,FPh,3.620780029046159
C87H59N7O2Zn,ZnP,EthynPhEPhA,TPA,DTA,TPA,3.3722418589081826
C47H24F10N4O7Zn,ZnP,2CarboxyPropenA,FPh,TMP,FPh,4.176729248193055
C47H20F10N4O5Zn,ZnP,2CarboxyPropenA,FPh,EthynPhM,FPh,4.099938074155602
C53H42N4O11Zn,ZnP,2CarboxyPropenA,TMP,EthynPhM,TMP,3.8106922273981354
C60H60N4O4Zn,ZnP,2CarboxyPropenA,DTBP,Ph,DTBP,4.149282085955633
C64H52N6O10Zn,ZnP,2CyanoPropenA,TMP,MOTPA,TMP,3.4294232990677074
C51H35N5O5SZn,ZnP,EthenThPCyanoAcryl,Ph,TMP,Ph,3.964310807967422
C87H66N6O2Zn,ZnP,EthynPhEPhA,TPA,DTBP,TPA,3.5777545715498036
C62H64N4O6Zn,ZnP,2CarboxyPropenA,DTBP,DMP,DTBP,4.026670091443634
C52H34F10N4O4Zn,ZnP,2CarboxyPropenA,FPh,DTBP,FPh,4.328082913885055
C74H56N6O5Zn,ZnP,EthynPhEPhA,DTA,TMP,DTA,3.4740772101830544
C62H49N7O4Zn,ZnP,2CyanoPropenA,DTA,DMP,DTA,3.297661113223853
C60H45N7O2Zn,ZnP,2CyanoPropenA,DTA,Ph,DTA,3.3157383439141768
C60H55F5N4O4Zn,ZnP,2CarboxyPropenA,DTBP,FPh,DTBP,4.197594281100464
C60H38N6O2SZn,ZnP,EthenThPCyanoAcryl,Ph,TPA,Ph,3.637947747261478
C55H44N4O10Zn,ZnP,EthynPhA,TMP,DMP,TMP,4.156392241379308
C63H62N4O5Zn,ZnP,2CarboxyPropenA,DTBP,EthynPhM,DTBP,3.9329315302862824
C52H27F10N5O4Zn,ZnP,2CarboxyPropenA,FPh,DTA,FPh,3.639266502461169
C63H48N6O5Zn,ZnP,2CarboxyPropenA,DTA,EthynPhM,DTA,3.3561568819288823
C86H60N6O7Zn,ZnP,EthynPhEPhA,MOTPA,EthynPhM,MOTPA,3.209414516628385
C63H66N4O7Zn,ZnP,2CarboxyPropenA,DTBP,TMP,DTBP,4.020709671015084
C58H49N5O10Zn,ZnP,2CarboxyPropenA,TMP,DTA,TMP,3.5521871166242818
C68H76N4O4Zn,ZnP,2CarboxyPropenA,DTBP,DTBP,DTBP,4.1186779688706565
C68H69N5O4Zn,ZnP,2CarboxyPropenA,DTBP,DTA,DTBP,3.634141312405177
C62H50N6O6Zn,ZnP,2CarboxyPropenA,DTA,DMP,DTA,3.2726846628197563
C83H53F5N6O6Zn,ZnP,EthynPhEPhA,MOTPA,FPh,MOTPA,3.2115633888246293
C72H69N5O4Zn,ZnP,2CarboxyPropenA,DTBP,TPA,DTBP,3.6488566099212676
C86H64N6O9Zn,ZnP,EthynPhEPhA,MOTPA,TMP,MOTPA,3.2762197836175346
C68H62N6O4Zn,ZnP,2CarboxyPropenA,DTA,DTBP,DTA,3.3679901589861174
C80H69N7O6Zn,ZnP,2CyanoPropenA,MOTPA,DTBP,MOTPA,3.0772088205719683
C79H63F5N4O2Zn,ZnP,EthynTPhEPhA,DTBP,FPh,DTBP,3.832908216486885
C72H54N8O2Zn,ZnP,2CyanoPropenA,DTA,TPA,DTA,3.126936149021276
C83H58N6O6Zn,ZnP,EthynPhEPhA,MOTPA,Ph,MOTPA,3.2180133818363856
C83H59N7O2Zn,ZnP,EthynPhEPhA,DTA,TPA,DTA,3.3476387940337418
C63H26F10N4O2Zn,ZnP,EthynTPhEPhA,FPh,Ph,FPh,3.887818579890336
C87H84N4O2Zn,ZnP,EthynTPhEPhA,DTBP,DTBP,DTBP,3.8003185190784734
C85H63N7O4Zn,ZnP,EthynPhEPhA,DTA,MOTPA,DTA,3.179198225162054
